CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2023;Facultad de Filosofía y Letras;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;226;0;;;0;0;;0;47;0;7849.00;0.00;;;;;;;15/09/2024
2023;Facultad de Medicina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;75;0;;;0;0;;0;;0;5023.00;0.00;;;;;;;15/09/2024
2023;Facultad de Veterinaria;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;54;0;;;0;0;;0;;0;1703.00;0.00;;;;;;;15/09/2024
2023;Facultad de Educación;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;27;0;;;0;0;;0;;0;878.00;0.00;;;;;;;15/09/2024
2023;Facultad de Ciencias Sociales y del Trabajo;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;36;0;;;0;0;;0;;0;1121.00;0.00;;;;;;;15/09/2024
2023;Facultad de Economía y Empresa;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;205;0;;;0;0;;0;;0;5844.00;0.00;;;;;;;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;103;0;;;0;0;;0;;0;2932.50;0.00;;;;;;;15/09/2024
2023;Facultad de Ciencias de la Salud;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;28;0;;;0;0;;0;;0;921.00;0.00;;100.00;100.00;;;;15/09/2024
2023;UNITA;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;23;0;;;0;0;;;;0;0.00;;;;;;;;15/09/2024
2023;Escuela Universitaria Politécnica de la Almunia de Doña Godina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;51;0;;;0;0;;0;;0;1463.00;0.00;;;;;;;15/09/2024
